"Id","AddedDatetimeOffset","Owner Key","Division ID","DivID","Division Name","LoadNum","Ship Date","Mode","Fresh Frozen","StopCount","Origin Location","Origin City","Origin State","Origin Postal","Origin Lat","Origin Long","Destination Location","Destination City","Destination State","Destination Postal","Destination Lat","Destination Long","Miles","Handling Units","Total Weight","Carrier","RG Low Cost Carrier","Rate Source","Service Level","Freight Cost","Accessorial Cost","Total Cost","Low Cost Total","Benchmark Total","Cleansed Total Weight"
"11","2025-08-01 12:20:04","OWN-NEV","DIV1","1","Neverland","L100010","2025-08-01","Intermodal","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","25","26919","Fairy Godmother Transport","Storybook Shipping","Contract","Standard","322","21.92","343.92","281.67","325.75","26919"
"12","2025-08-06 12:20:04","OWN-NEV","DIV1","1","Neverland","L100011","2025-08-06","Intermodal","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","21","33547","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Contract","Expedited","366.8","45.46","412.26","411","443.85","33547"
"13","2025-08-05 12:20:04","OWN-NEV","DIV1","1","Neverland","L100012","2025-08-05","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","21","25596","Royal Coachlines","Royal Coachlines","Contract","Expedited","282.8","40.24","323.04","327.28","337.36","25596"
"14","2025-08-06 12:20:04","OWN-NEV","DIV1","1","Neverland","L100013","2025-08-06","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","21","32810","Magic Carpet Hauling","Magic Carpet Hauling","Contract","Standard","268.8","37.53","306.33","311.73","315.45","32810"
"15","2025-08-08 12:20:04","OWN-NEV","DIV1","1","Neverland","L100014","2025-08-08","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","20","26032","Pumpkin Carriage Carriers","Royal Coachlines","Contract","Expedited","261.8","36.86","298.66","230.43","275.62","26032"
"16","2025-08-07 12:20:04","OWN-NEV","DIV1","1","Neverland","L100015","2025-08-07","Intermodal","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","19","22897","Fairy Godmother Transport","Fairy Godmother Transport","Spot","Expedited","1152.8","123.56","1276.36","1269.55","1223.28","22897"
"17","2025-08-11 12:20:04","OWN-NEV","DIV1","1","Neverland","L100016","2025-08-11","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","26","36335","Magic Carpet Hauling","Magic Carpet Hauling","Contract","Expedited","305.2","24.46","329.66","334.27","329.43","36335"
"18","2025-08-12 12:20:04","OWN-NEV","DIV1","1","Neverland","L100017","2025-08-12","Intermodal","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","18","22958","Royal Coachlines","Royal Coachlines","Spot","Expedited","958.8","119.17","1077.97","1060.53","1099.94","22958"
"19","2025-08-12 12:20:04","OWN-NEV","DIV1","1","Neverland","L100018","2025-08-12","LTL","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","25","21011","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Expedited","1118.6","135.57","1254.17","1233.32","1161.43","21011"
"20","2025-08-12 12:20:04","OWN-NEV","DIV1","1","Neverland","L100019","2025-08-12","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","26","35098","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Contract","Expedited","316.4","45.09","361.49","358.88","360.95","35098"
"21","2025-08-24 12:20:04","OWN-NEV","DIV1","1","Neverland","L100020","2025-08-24","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","26","23124","Royal Coachlines","Royal Coachlines","Contract","Expedited","1062.2","153.5","1215.7","1216.04","1253.63","23124"
"22","2025-08-19 12:20:04","OWN-NEV","DIV1","1","Neverland","L100021","2025-08-19","Intermodal","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","26","41360","Magic Carpet Hauling","Royal Coachlines","Spot","Standard","1086.8","158.18","1244.98","975.58","1156.51","38000"
"23","2025-08-19 12:20:04","OWN-NEV","DIV1","1","Neverland","L100022","2025-08-19","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","23","39478","Fairy Godmother Transport","Fairy Godmother Transport","Contract","Expedited","814","95.63","909.63","907.93","932.73","39478"
"24","2025-08-22 12:20:04","OWN-NEV","DIV1","1","Neverland","L100023","2025-08-22","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","19","23618","Storybook Shipping","Storybook Shipping","Spot","Expedited","874.2","37.2","911.4","895.71","969.48","23618"
"25","2025-08-21 12:20:04","OWN-NEV","DIV1","1","Neverland","L100024","2025-08-21","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","26","26851","Genie Express Logistics","Genie Express Logistics","Spot","Expedited","982.3","31.33","1013.63","1026.57","1035.88","26851"
"26","2025-08-20 12:20:04","OWN-NEV","DIV1","1","Neverland","L100025","2025-08-20","Intermodal","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","26","35270","Beast Freight Co","Beast Freight Co","Spot","Expedited","1043.4","86.28","1129.68","1114.16","1159.65","35270"
"27","2025-08-25 12:20:04","OWN-NEV","DIV1","1","Neverland","L100026","2025-08-25","Intermodal","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","18","22331","Beast Freight Co","Beast Freight Co","Contract","Expedited","322","34.61","356.61","359.39","384.64","22331"
"28","2025-08-29 12:20:04","OWN-NEV","DIV1","1","Neverland","L100027","2025-08-29","LTL","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","25","29939","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Expedited","382.2","48.83","431.03","424.27","462.62","29939"
"29","2025-08-28 12:20:04","OWN-NEV","DIV1","1","Neverland","L100028","2025-08-28","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","18","23558","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Standard","1137.4","94.5","1231.9","1250.29","1252.3","23558"
"30","2025-08-25 12:20:04","OWN-NEV","DIV1","1","Neverland","L100029","2025-08-25","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","19","41655","Storybook Shipping","Storybook Shipping","Contract","Standard","317.8","37.58","355.38","351.84","376.87","38000"
"31","2025-08-29 12:20:04","OWN-NEV","DIV1","1","Neverland","L100030","2025-08-29","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","22","39157","Storybook Shipping","Beast Freight Co","Spot","Expedited","296.8","21.64","318.44","274.28","301.9","39157"
"32","2025-09-05 12:20:04","OWN-NEV","DIV1","1","Neverland","L100031","2025-09-05","LTL","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","24","22086","Genie Express Logistics","Genie Express Logistics","Spot","Expedited","1240.8","174.43","1415.23","1443.49","1465.91","22086"
"33","2025-09-05 12:20:04","OWN-NEV","DIV1","1","Neverland","L100032","2025-09-05","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","19","24851","Royal Coachlines","Royal Coachlines","Contract","Expedited","1082.4","113.87","1196.27","1186.93","1235.18","24851"
"34","2025-09-02 12:20:04","OWN-NEV","DIV1","1","Neverland","L100033","2025-09-02","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","24","25238","Genie Express Logistics","Genie Express Logistics","Spot","Standard","1175","78.53","1253.53","1260.65","1154.22","25238"
"35","2025-09-09 12:20:04","OWN-NEV","DIV1","1","Neverland","L100034","2025-09-09","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","26","24079","Storybook Shipping","Storybook Shipping","Spot","Standard","324.8","36.53","361.33","354.46","352.73","24079"
"36","2025-09-09 12:20:04","OWN-NEV","DIV1","1","Neverland","L100035","2025-09-09","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","19","25138","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Contract","Expedited","849.2","74.12","923.32","916.85","881.62","25138"
"37","2025-09-11 12:20:04","OWN-NEV","DIV1","1","Neverland","L100036","2025-09-11","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","25","28934","Beast Freight Co","Beast Freight Co","Contract","Expedited","287","34.49","321.49","323.92","346.39","28934"
"38","2025-09-10 12:20:04","OWN-NEV","DIV1","1","Neverland","L100037","2025-09-10","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","24","34998","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Expedited","291.2","8.81","300.01","303.28","305.86","34998"
"39","2025-09-21 12:20:04","OWN-NEV","DIV1","1","Neverland","L100038","2025-09-21","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","18","30552","Genie Express Logistics","Genie Express Logistics","Spot","Standard","860.1","30.48","890.58","888.39","837.87","30552"
"40","2025-09-19 12:20:04","OWN-NEV","DIV1","1","Neverland","L100039","2025-09-19","Intermodal","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","23","31493","Royal Coachlines","Enchanted Wheels Trucking","Contract","Standard","1203.2","114.67","1317.87","999","1402.76","31493"
"41","2025-09-15 12:20:04","OWN-NEV","DIV1","1","Neverland","L100040","2025-09-15","Intermodal","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","22","34725","Enchanted Wheels Trucking","Enchanted Wheels Trucking","Spot","Standard","277.2","21.89","299.09","299.6","287.61","34725"
"42","2025-09-28 12:20:04","OWN-NEV","DIV1","1","Neverland","L100041","2025-09-28","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","22","43741","Genie Express Logistics","Genie Express Logistics","Contract","Expedited","1240.8","79.56","1320.36","1305.98","1300.36","38000"
"43","2025-09-27 12:20:04","OWN-NEV","DIV1","1","Neverland","L100042","2025-09-27","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","22","35078","Storybook Shipping","Storybook Shipping","Spot","Standard","874.2","120.08","994.28","983.93","1072.13","35078"
"44","2025-09-27 12:20:04","OWN-NEV","DIV1","1","Neverland","L100043","2025-09-27","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","19","23855","Fairy Godmother Transport","Fairy Godmother Transport","Contract","Standard","935.3","132.22","1067.52","1053.04","1075.89","23855"
"45","2025-09-22 12:20:04","OWN-NEV","DIV1","1","Neverland","L100044","2025-09-22","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","18","30018","Beast Freight Co","Beast Freight Co","Spot","Standard","1283.1","144.67","1427.77","1450.9","1493.05","30018"
"46","2025-09-29 12:20:04","OWN-NEV","DIV1","1","Neverland","L100045","2025-09-29","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","19","41937","Storybook Shipping","Storybook Shipping","Spot","Standard","883.6","97.97","981.57","994.46","1033.68","38000"
"47","2025-10-02 12:20:04","OWN-NEV","DIV1","1","Neverland","L100046","2025-10-02","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","18","32992","Storybook Shipping","Storybook Shipping","Contract","Standard","1161.6","122","1283.6","1260.16","1222.42","32992"
"48","2025-10-03 12:20:04","OWN-NEV","DIV1","1","Neverland","L100047","2025-10-03","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","26","32757","Beast Freight Co","Beast Freight Co","Contract","Expedited","930.6","52.26","982.86","963.4","1057.3","32757"
"49","2025-10-08 12:20:04","OWN-NEV","DIV1","1","Neverland","L100048","2025-10-08","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","26","43683","Enchanted Wheels Trucking","Enchanted Wheels Trucking","Spot","Standard","273","38.67","311.67","310.34","296.2","38000"
"50","2025-10-08 12:20:04","OWN-NEV","DIV1","1","Neverland","L100049","2025-10-08","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","21","26616","Genie Express Logistics","Genie Express Logistics","Spot","Standard","1278.4","63.01","1341.41","1328.2","1415.28","26616"
"51","2025-10-10 12:20:04","OWN-NEV","DIV1","1","Neverland","L100050","2025-10-10","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","21","37963","Enchanted Wheels Trucking","Enchanted Wheels Trucking","Spot","Standard","841.3","60.97","902.27","901.93","831.76","37963"
"52","2025-10-08 12:20:04","OWN-NEV","DIV1","1","Neverland","L100051","2025-10-08","Intermodal","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","24","33009","Magic Carpet Hauling","Magic Carpet Hauling","Contract","Standard","247.8","23.94","271.74","274.72","264.33","33009"
"53","2025-10-18 12:20:04","OWN-NEV","DIV1","1","Neverland","L100052","2025-10-18","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","21","34208","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Expedited","310.8","14.96","325.76","319.65","331.04","34208"
"54","2025-10-19 12:20:04","OWN-NEV","DIV1","1","Neverland","L100053","2025-10-19","Intermodal","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","19","42707","Beast Freight Co","Beast Freight Co","Contract","Expedited","252","13.62","265.62","261.29","256.37","38000"
"55","2025-10-14 12:20:04","OWN-NEV","DIV1","1","Neverland","L100054","2025-10-14","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","25","36856","Storybook Shipping","Storybook Shipping","Contract","Expedited","274.4","37.25","311.65","316.2","294.41","36856"
"56","2025-10-19 12:20:04","OWN-NEV","DIV1","1","Neverland","L100055","2025-10-19","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","21","36759","Royal Coachlines","Enchanted Wheels Trucking","Spot","Expedited","858","126.85","984.85","760.84","970.17","36759"
"57","2025-10-21 12:20:04","OWN-NEV","DIV1","1","Neverland","L100056","2025-10-21","Intermodal","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","22","41099","Royal Coachlines","Genie Express Logistics","Contract","Expedited","925.9","135.42","1061.32","889.27","980.44","38000"
"58","2025-10-25 12:20:04","OWN-NEV","DIV1","1","Neverland","L100057","2025-10-25","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","26","35766","Beast Freight Co","Beast Freight Co","Contract","Expedited","270.2","17.27","287.47","283.16","307.16","35766"
"59","2025-10-25 12:20:04","OWN-NEV","DIV1","1","Neverland","L100058","2025-10-25","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","24","27259","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Contract","Standard","254.8","10.14","264.94","262.55","251.3","27259"
"60","2025-10-21 12:20:04","OWN-NEV","DIV1","1","Neverland","L100059","2025-10-21","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","26","28165","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Expedited","1117.6","126.45","1244.05","1253.94","1215.76","28165"
"61","2025-10-29 12:20:04","OWN-NEV","DIV1","1","Neverland","L100060","2025-10-29","Intermodal","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","23","36441","Storybook Shipping","Storybook Shipping","Contract","Standard","1078","103.79","1181.79","1188.46","1196.71","36441"
"62","2025-11-02 12:20:04","OWN-NEV","DIV1","1","Neverland","L100061","2025-11-02","Intermodal","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","19","36617","Royal Coachlines","Royal Coachlines","Contract","Expedited","849.2","29.95","879.15","863.41","829.96","36617"
"63","2025-10-27 12:20:04","OWN-NEV","DIV1","1","Neverland","L100062","2025-10-27","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","23","22972","Beast Freight Co","Beast Freight Co","Contract","Standard","336","39.79","375.79","376.82","366.13","22972"
"64","2025-11-04 12:20:04","OWN-NEV","DIV1","1","Neverland","L100063","2025-11-04","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","25","25192","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Expedited","1113.2","64.24","1177.44","1165.44","1165.8","25192"
"65","2025-11-08 12:20:04","OWN-NEV","DIV1","1","Neverland","L100064","2025-11-08","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","26","34692","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Contract","Standard","347.2","44.98","392.18","387.3","371.44","34692"
"66","2025-11-08 12:20:04","OWN-NEV","DIV1","1","Neverland","L100065","2025-11-08","LTL","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","20","42885","Royal Coachlines","Beast Freight Co","Contract","Expedited","246.4","33.57","279.97","233.72","286.63","38000"
"67","2025-11-16 12:20:04","OWN-NEV","DIV1","1","Neverland","L100066","2025-11-16","LTL","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","21","38635","Genie Express Logistics","Genie Express Logistics","Contract","Expedited","1056","73.58","1129.58","1113.57","1041.54","38635"
"68","2025-11-13 12:20:04","OWN-NEV","DIV1","1","Neverland","L100067","2025-11-13","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","24","34099","Storybook Shipping","Storybook Shipping","Spot","Standard","1048.1","149.34","1197.44","1182.18","1283","34099"
"69","2025-11-13 12:20:04","OWN-NEV","DIV1","1","Neverland","L100068","2025-11-13","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","21","40732","Genie Express Logistics","Genie Express Logistics","Contract","Standard","792","57.99","849.99","833.58","819.49","38000"
"70","2025-11-16 12:20:04","OWN-NEV","DIV1","1","Neverland","L100069","2025-11-16","LTL","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","22","42098","Genie Express Logistics","Genie Express Logistics","Spot","Standard","1085.7","42.96","1128.66","1132.5","1091.24","38000"
"71","2025-11-17 12:20:04","OWN-NEV","DIV1","1","Neverland","L100070","2025-11-17","LTL","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Charlotte, NC","Charlotte","NC","","35.2271","-80.8431","470","23","37508","Genie Express Logistics","Fairy Godmother Transport","Spot","Standard","1283.1","148.38","1431.48","1112.48","1471.33","37508"
"72","2025-11-23 12:20:04","OWN-NEV","DIV1","1","Neverland","L100071","2025-11-23","Truckload","Blue","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","23","25817","Pumpkin Carriage Carriers","Pumpkin Carriage Carriers","Spot","Standard","378","34.89","412.89","410.84","403.31","25817"
"73","2025-11-23 12:20:04","OWN-NEV","DIV1","1","Neverland","L100072","2025-11-23","Truckload","Green","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","20","43105","Royal Coachlines","Royal Coachlines","Contract","Standard","1117.6","38.7","1156.3","1173.69","1247.2","38000"
"74","2025-11-20 12:20:04","OWN-NEV","DIV1","1","Neverland","L100073","2025-11-20","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Jacksonville, FL","Jacksonville","FL","","30.3322","-81.6557","140","20","23350","Genie Express Logistics","Genie Express Logistics","Contract","Standard","284.2","36.57","320.77","324.24","295.69","23350"
"75","2025-11-28 12:20:04","OWN-NEV","DIV1","1","Neverland","L100074","2025-11-28","Truckload","Yellow","2","Orlando, FL","Orlando","FL","","28.5383","-81.3792","Atlanta, GA","Atlanta","GA","","33.749","-84.388","440","22","24278","Royal Coachlines","Royal Coachlines","Contract","Standard","902","48.61","950.61","966.63","875.07","24278"
